"동별(1)","동별(2)",동별(3),각세별(1),계,여자
"합계","소계",소계,합계,10312545,5201286
"합계","종로구",소계,합계,170578,85396
"합계","종로구",사직동,합계,10203,5407
"합계","종로구",삼청동,합계,3517,1827
"합계","종로구",부암동,합계,11406,5762
"합계","종로구",평창동,합계,19566,10151
"합계","종로구",무악동,합계,8663,4495
"합계","종로구",교남동,합계,9140,4633
"합계","종로구",가회동,합계,5709,2962
"합계","종로구",종로1.2.3.4가동,합계,8010,3383
"합계","종로구",종로5.6가동,합계,6302,2919
"합계","종로구",이화동,합계,9358,4840
"합계","종로구",혜화동,합계,12112,6215
"합계","종로구",명륜3가동,합계,6336,2967
"합계","종로구",창신1동,합계,7113,3388
"합계","종로구",창신2동,합계,11811,5802
"합계","종로구",창신3동,합계,8700,4350
"합계","종로구",숭인1동,합계,7594,3790
"합계","종로구",숭인2동,합계,9350,4462
"합계","종로구",청운효자동,합계,15688,8043
"합계","중구",소계,합계,132822,65943
"합계","중구",소공동,합계,1257,596
"합계","중구",회현동,합계,5537,2460
"합계","중구",명동,합계,3445,1908
"합계","중구",필동,합계,4675,2194
"합계","중구",장충동,합계,5675,2784
"합계","중구",광희동,합계,5758,2633
"합계","중구",을지로동,합계,2009,758
"합계","중구",신당1동,합계,8403,4068
"합계","중구",신당2동,합계,16823,8539
"합계","중구",신당3동,합계,19676,10158
"합계","중구",신당4동,합계,16211,8393
"합계","중구",신당5동,합계,8221,4044
"합계","중구",신당6동,합계,9686,4907
"합계","중구",황학동,합계,12705,6204
"합계","중구",중림동,합계,12741,6297
"합계","용산구",소계,합계,244853,125371
"합계","용산구",후암동,합계,20355,10181
"합계","용산구",용산2가동,합계,13355,6858
"합계","용산구",남영동,합계,7947,3245
"합계","용산구",원효로2동,합계,16222,8458
"합계","용산구",효창동,합계,11386,5854
"합계","용산구",용문동,합계,13433,6821
"합계","용산구",이촌1동,합계,27385,14611
"합계","용산구",이촌2동,합계,10609,5511
"합계","용산구",이태원1동,합계,8739,4728
"합계","용산구",이태원2동,합계,11441,6032
"합계","용산구",서빙고동,합계,11479,5950
"합계","용산구",보광동,합계,18461,9519
"합계","용산구",청파동,합계,24011,12266
"합계","용산구",원효로1동,합계,10979,5462
"합계","용산구",한강로동,합계,16021,7981
"합계","용산구",한남동,합계,23030,11894
"합계","성동구",소계,합계,309093,154026
"합계","성동구",왕십리2동,합계,18943,9506
"합계","성동구",마장동,합계,25826,12832
"합계","성동구",사근동,합계,10746,5029
"합계","성동구",행당1동,합계,17998,9114
